Country,Region,Population,GDP ($ per capita),Climate,Birthrate,Agriculture,Industry
Afghanistan ,ASIA (EX. NEAR EAST)         ,31056997,700,1,"46,6","0,38","0,24"
Albania ,EASTERN EUROPE                     ,3581655,4500,3,"15,11","0,232","0,188"
Algeria ,NORTHERN AFRICA                    ,32930091,6000,1,"17,14","0,101","0,6"
American Samoa ,OCEANIA                            ,57794,8000,2,"22,46",,
Andorra ,WESTERN EUROPE                     ,71201,19000,3,"8,71",,
Angola ,SUB-SAHARAN AFRICA                 ,12127071,1900,,"45,11","0,096","0,658"
Anguilla ,LATIN AMER. & CARIB    ,13477,8600,2,"14,17","0,04","0,18"
Antigua & Barbuda ,LATIN AMER. & CARIB    ,69108,11000,2,"16,93","0,038","0,22"
Argentina ,LATIN AMER. & CARIB    ,39921833,11200,3,"16,73","0,095","0,358"
Armenia ,C.W. OF IND. STATES ,2976372,3500,4,"12,07","0,239","0,343"
Aruba ,LATIN AMER. & CARIB    ,71891,28000,2,"11,03","0,004","0,333"
Australia ,OCEANIA                            ,20264082,29000,1,"12,14","0,038","0,262"
Austria ,WESTERN EUROPE                     ,8192880,30000,3,"8,74","0,018","0,304"
Azerbaijan ,C.W. OF IND. STATES ,7961619,3400,1,"20,74","0,141","0,457"
"Bahamas, The ",LATIN AMER. & CARIB    ,303770,16700,2,"17,57","0,03","0,07"
Bahrain ,NEAR EAST                          ,698585,16900,1,"17,8","0,005","0,387"
Bangladesh ,ASIA (EX. NEAR EAST)         ,147365352,1900,2,"29,8","0,199","0,198"
Barbados ,LATIN AMER. & CARIB    ,279912,15700,2,"12,71","0,06","0,16"
Belarus ,C.W. OF IND. STATES ,10293011,6100,4,"11,16","0,093","0,316"
Belgium ,WESTERN EUROPE                     ,10379067,29100,3,"10,38","0,01","0,24"
Belize ,LATIN AMER. & CARIB    ,287730,4900,2,"28,84","0,142","0,152"
Benin ,SUB-SAHARAN AFRICA                 ,7862944,1100,2,"38,85","0,316","0,138"
Bermuda ,NORTHERN AMERICA                   ,65773,36000,2,"11,4","0,01","0,1"
Bhutan ,ASIA (EX. NEAR EAST)         ,2279723,1300,2,"33,65","0,258","0,379"
Bolivia ,LATIN AMER. & CARIB    ,8989046,2400,"1,5","23,3","0,128","0,352"
Bosnia & Herzegovina ,EASTERN EUROPE                     ,4498976,6100,4,"8,77","0,142","0,308"
Botswana ,SUB-SAHARAN AFRICA                 ,1639833,9000,1,"23,08","0,024","0,469"
Brazil ,LATIN AMER. & CARIB    ,188078227,7600,2,"16,56","0,084","0,4"
British Virgin Is. ,LATIN AMER. & CARIB    ,23098,16000,2,"14,89","0,018","0,062"
Brunei ,ASIA (EX. NEAR EAST)         ,379444,18600,2,"18,79","0,036","0,561"
Bulgaria ,EASTERN EUROPE                     ,7385367,7600,3,"9,65","0,093","0,304"
Burkina Faso ,SUB-SAHARAN AFRICA                 ,13902972,1100,2,"45,62","0,322","0,196"
Burma ,ASIA (EX. NEAR EAST)         ,47382633,1800,2,"17,91","0,564","0,082"
Burundi ,SUB-SAHARAN AFRICA                 ,8090068,600,2,"42,22","0,463","0,203"
Cambodia ,ASIA (EX. NEAR EAST)         ,13881427,1900,2,"26,9","0,35","0,3"
Cameroon ,SUB-SAHARAN AFRICA                 ,17340702,1800,"1,5","33,89","0,448","0,17"
Canada ,NORTHERN AMERICA                   ,33098932,29800,,"10,78","0,022","0,294"
Cape Verde ,SUB-SAHARAN AFRICA                 ,420979,1400,3,"24,87","0,121","0,219"
Cayman Islands ,LATIN AMER. & CARIB    ,45436,35000,2,"12,74","0,014","0,032"
Central African Rep. ,SUB-SAHARAN AFRICA                 ,4303356,1100,2,"33,91","0,55","0,2"
Chad ,SUB-SAHARAN AFRICA                 ,9944201,1200,2,"45,73","0,335","0,259"
Chile ,LATIN AMER. & CARIB    ,16134219,9900,3,"15,23","0,06","0,493"
China ,ASIA (EX. NEAR EAST)         ,1313973713,5000,"1,5","13,25","0,125","0,473"
Colombia ,LATIN AMER. & CARIB    ,43593035,6300,2,"20,48","0,125","0,342"
Comoros ,SUB-SAHARAN AFRICA                 ,690948,700,2,"36,93","0,4","0,04"
"Congo, Dem. Rep. ",SUB-SAHARAN AFRICA                 ,62660551,700,2,"43,69","0,55","0,11"
"Congo, Repub. of the ",SUB-SAHARAN AFRICA                 ,3702314,700,2,"42,57","0,062","0,57"
Cook Islands ,OCEANIA                            ,21388,5000,2,21,"0,151","0,096"
Costa Rica ,LATIN AMER. & CARIB    ,4075261,9100,2,"18,32","0,088","0,299"
Cote d'Ivoire ,SUB-SAHARAN AFRICA                 ,17654843,1400,2,"35,11","0,279","0,171"
Croatia ,EASTERN EUROPE                     ,4494749,10600,,"9,61","0,07","0,308"
Cuba ,LATIN AMER. & CARIB    ,11382820,2900,2,"11,89","0,055","0,261"
Cyprus ,NEAR EAST                          ,784301,19200,3,"12,56","0,037","0,198"
Czech Republic ,EASTERN EUROPE                     ,10235455,15700,3,"9,02","0,034","0,393"
Denmark ,WESTERN EUROPE                     ,5450661,31100,3,"11,13","0,018","0,246"
Djibouti ,SUB-SAHARAN AFRICA                 ,486530,1300,1,"39,53","0,179","0,225"
Dominica ,LATIN AMER. & CARIB    ,68910,5400,2,"15,27","0,177","0,328"
Dominican Republic ,LATIN AMER. & CARIB    ,9183984,6000,2,"23,22","0,112","0,306"
East Timor ,ASIA (EX. NEAR EAST)         ,1062777,500,2,"26,99","0,085","0,231"
Ecuador ,LATIN AMER. & CARIB    ,13547510,3300,2,"22,29","0,07","0,312"
Egypt ,NORTHERN AFRICA                    ,78887007,4000,1,"22,94","0,149","0,357"
El Salvador ,LATIN AMER. & CARIB    ,6822378,4800,2,"26,61","0,099","0,302"
Equatorial Guinea ,SUB-SAHARAN AFRICA                 ,540109,2700,2,"35,59","0,03","0,906"
Eritrea ,SUB-SAHARAN AFRICA                 ,4786994,700,"1,5","34,33","0,102","0,254"
Estonia ,BALTICS                            ,1324333,12300,3,"10,04","0,04","0,294"
Ethiopia ,SUB-SAHARAN AFRICA                 ,74777981,700,2,"37,98","0,475","0,099"
Faroe Islands ,WESTERN EUROPE                     ,47246,22000,,"14,05","0,27","0,11"
Fiji ,OCEANIA                            ,905949,5800,2,"22,55","0,089","0,135"
Finland ,WESTERN EUROPE                     ,5231372,27400,3,"10,45","0,028","0,295"
France ,WESTERN EUROPE                     ,60876136,27600,4,"11,99","0,022","0,214"
French Guiana ,LATIN AMER. & CARIB    ,199509,8300,2,"20,46","0,066","0,156"
French Polynesia ,OCEANIA                            ,274578,17500,2,"16,68","0,031","0,19"
Gabon ,SUB-SAHARAN AFRICA                 ,1424906,5500,2,"36,16","0,061","0,592"
"Gambia, The ",SUB-SAHARAN AFRICA                 ,1641564,1700,2,"39,37","0,308","0,142"
Gaza Strip ,NEAR EAST                          ,1428757,600,3,"39,45","0,03","0,283"
Georgia ,C.W. OF IND. STATES ,4661473,2500,3,"10,41","0,172","0,275"
Germany ,WESTERN EUROPE                     ,82422299,27600,3,"8,25","0,009","0,296"
Ghana ,SUB-SAHARAN AFRICA                 ,22409572,2200,2,"30,52","0,366","0,246"
Gibraltar ,WESTERN EUROPE                     ,27928,17500,,"10,74",,
Greece ,WESTERN EUROPE                     ,10688058,20000,3,"9,68","0,054","0,213"
Greenland ,NORTHERN AMERICA                   ,56361,20000,1,"15,93",,
Grenada ,LATIN AMER. & CARIB    ,89703,5000,2,"22,08","0,054","0,18"
Guadeloupe ,LATIN AMER. & CARIB    ,452776,8000,2,"15,05","0,15","0,17"
Guam ,OCEANIA                            ,171019,21000,2,"18,79",,
Guatemala ,LATIN AMER. & CARIB    ,12293545,4100,2,"29,88","0,227","0,188"
Guernsey ,WESTERN EUROPE                     ,65409,20000,3,"8,81","0,03","0,1"
Guinea ,SUB-SAHARAN AFRICA                 ,9690222,2100,2,"41,76","0,237","0,362"
Guinea-Bissau ,SUB-SAHARAN AFRICA                 ,1442029,800,2,"37,22","0,62","0,12"
Guyana ,LATIN AMER. & CARIB    ,767245,4000,2,"18,28","0,37","0,203"
Haiti ,LATIN AMER. & CARIB    ,8308504,1600,2,"36,44","0,28","0,2"
Honduras ,LATIN AMER. & CARIB    ,7326496,2600,2,"28,24","0,139","0,312"
Hong Kong ,ASIA (EX. NEAR EAST)         ,6940432,28800,2,"7,29","0,001","0,092"
Hungary ,EASTERN EUROPE                     ,9981334,13900,3,"9,72","0,037","0,312"
Iceland ,WESTERN EUROPE                     ,299388,30900,3,"13,64","0,086","0,15"
India ,ASIA (EX. NEAR EAST)         ,1095351995,2900,"2,5","22,01","0,186","0,276"
Indonesia ,ASIA (EX. NEAR EAST)         ,245452739,3200,2,"20,34","0,134","0,458"
Iran ,ASIA (EX. NEAR EAST)         ,68688433,7000,1,17,"0,116","0,424"
Iraq ,NEAR EAST                          ,26783383,1500,1,"31,98","0,073","0,666"
Ireland ,WESTERN EUROPE                     ,4062235,29600,3,"14,45","0,05","0,46"
Isle of Man ,WESTERN EUROPE                     ,75441,21000,3,"11,05","0,01","0,13"
Israel ,NEAR EAST                          ,6352117,19800,3,"17,97","0,026","0,317"
Italy ,WESTERN EUROPE                     ,58133509,26700,,"8,72","0,021","0,291"
Jamaica ,LATIN AMER. & CARIB    ,2758124,3900,2,"20,82","0,049","0,337"
Japan ,ASIA (EX. NEAR EAST)         ,127463611,28200,3,"9,37","0,017","0,258"
Jersey ,WESTERN EUROPE                     ,91084,24800,3,"9,3","0,05","0,02"
Jordan ,NEAR EAST                          ,5906760,4300,1,"21,25","0,033","0,287"
Kazakhstan ,C.W. OF IND. STATES ,15233244,6300,4,16,"0,067","0,386"
Kenya ,SUB-SAHARAN AFRICA                 ,34707817,1000,"1,5","39,72","0,163","0,188"
Kiribati ,OCEANIA                            ,105432,800,2,"30,65","0,089","0,242"
"Korea, North ",ASIA (EX. NEAR EAST)         ,23113019,1300,3,"15,54","0,3","0,34"
"Korea, South ",ASIA (EX. NEAR EAST)         ,48846823,17800,3,10,"0,033","0,403"
Kuwait ,NEAR EAST                          ,2418393,19000,1,"21,94","0,004","0,479"
Kyrgyzstan ,C.W. OF IND. STATES ,5213898,1600,"2,5","22,8","0,353","0,208"
Laos ,ASIA (EX. NEAR EAST)         ,6368481,1700,2,"35,49","0,455","0,287"
Latvia ,BALTICS                            ,2274735,10200,3,"9,24","0,04","0,261"
Lebanon ,NEAR EAST                          ,3874050,4800,,"18,52","0,12","0,21"
Lesotho ,SUB-SAHARAN AFRICA                 ,2022331,3000,3,"24,75","0,163","0,443"
Liberia ,SUB-SAHARAN AFRICA                 ,3042004,1000,2,"44,77","0,769","0,054"
Libya ,NORTHERN AFRICA                    ,5900754,6400,,"26,49","0,076","0,499"
Liechtenstein ,WESTERN EUROPE                     ,33987,25000,4,"10,21","0,06","0,39"
Lithuania ,BALTICS                            ,3585906,11400,,"8,75","0,055","0,325"
Luxembourg ,WESTERN EUROPE                     ,474413,55100,,"11,94","0,01","0,13"
Macau ,ASIA (EX. NEAR EAST)         ,453125,19400,2,"8,48","0,001","0,072"
Macedonia ,EASTERN EUROPE                     ,2050554,6700,3,"12,02","0,118","0,319"
Madagascar ,SUB-SAHARAN AFRICA                 ,18595469,800,2,"41,41","0,276","0,165"
Malawi ,SUB-SAHARAN AFRICA                 ,13013926,600,2,"43,13","0,342","0,158"
